Headword,POS,Definition
ฟ้าร่าม,น.,"ฟ้าอร่าม - แสงเงินแสงทอง, ก็ว่า."
ฟาก,น.,ฟาก - ไม้ไผ่ทำให้แบนสำหรับปูเป็นพื้นเรือน
ฟาง,ว.,ฟาง - เห็นไม่ถนัด มักใช้กับตา เป็น ตาฟาง
ฟาด,ก.,ฟาด - หวด เหวี่ยง ตี
ฟาดฟื้น,ก.,"เป็นขบถ ปฏิวัติ (กวีนิพนธ์), ก็ว่า."
ฟาน,น.,ฟานเก้ง - ชื่อสัตว์เคี้ยวเอื้อง ตัวเล็ก ขนสีน้ำตาลจนถึงสีน้ำตาลเข้ม หน้าผากเป็นสันเห็นได้
ฟาย,ก.,พาย - พุ้ย อย่างพายเรือ ตัก กวาด เช็ด เช่น เอามือฟายน้ำตา
ฟ้าว,ว.,รีบ ด่วน มักใช้กับ ฟั่ง เป็น ฟั่งฟ้าว
ฟีก,ก.,​ ฟีก - หลีก เลี่ยง เว้น
ฟื้น,ก.,ฟื้น- กลับด้าน กลับคืน ตื่นขึ้น คืนชีพ เป็นขบถ พยายามยึดคืนอำนาจ
ฟื้นฅิง,ก.,ขยับกาย เปลี่ยนอิริยาบถ
ฟื้นม่าน,ก.,เป็นขบถต่อพม่า พยายามปลดแอกจากพม่า
ฟืม,น.,​ ฟืม - เครื่องสำหรับทอผ้า มีฟันซี่ๆ คล้ายหวีสำหรับสอดเส้นด้ายหรือไหม ใช้กระแทกให้ด้ายที่ทอไว้นั้นประสานกันสนิท
ฟุ้ง,ก.,​ ฟุ้ง - ปลิวไป ตลบไป กระจายไป
ฟุ้งเบ๊อ,ว.,กระจัดกระจายอยู่เกลื่อนกลาด
ฟุ้งฟะฟุ้งฟาย,ดู - ฟุ้งเบ๊อ ,ก็ว่า.
ฟุน,น.,"ไฟ มักใช้กับคำ ไฟ เป็น ฟุนไฟ, ก็ว่า."
ฟุย,น.,ค่าบริการในการแลกเปลี่ยนเงินตราเรียก น้ำฟุย
ฟุ่ย,น.,​ พู่ - ระย้า ฝอยที่เป็นกลุ่มหรือพวง
ฟู,ว.,ฟู - พองตัวขึ้น ขยายตัวนูนขึ้น ลอย ไม่จม
ฟูฟุ่น,ว.,​ ลอยขึ้นอยู่เหนือผิวน้ำระเกะระกะ
ฟู่,ก.,"พูด เจรจา, ก็ว่า."
ฟู่ค่อย,ก.,พูดเบาๆ กระซิบ
ฟู่ทัด,ว.,พูดในสิ่งเดียวกัน ลงรอยกัน
ฟู่แท้,ก.,​ พูดจริง
ฟู่แท้เอาแท้,ก.,​ พููดว่าจะเอาเป็นคู่ครองจริงๆ ไม่พูดเล่นๆ อาจเล่นเป็นคำผวนว่า ฟู่แท้แอเท้า ก็มี
ฟูก,น.,ฟูก - ที่นอนใหญ่ที่ยัดด้วยนุ่น (ยืม - ฟูก) ล้านนาใช้ สะลี หรือ ที่นอน ในภาษาไทยพวนเรียกฟูกหรือที่นอนว่า เสื่อ
ฟูม,ว.,ภาคภูมิ สง่างาม (อีสาน)
ฟูมเฟือก,ก.,​ กระเพื่อม - อาการกระเทือนขึ้นๆ ลงๆ อย่างน้ำ
เฟ็ด,ก.,เฟ็ด - รวบ หด สั้น ถลกขึ้นสูง อย่างที่นุ่งผ้าหยักรั้ง
เฟ็ด,น.,"กิ่งไม้ กิ่งแขนงของไม้, ก็ว่า."
เฟ็ดม่าม,ก.,"นุ่งผ้าหยักรั้ง, ก็ว่า."
เฟย,น.,"เฟือย - ชายไม้ บริเวณชายกิ่งไม้รอบต้น บางแห่งหมายถึงใบไม้, ก็ว่า."
เฟ้ย,ว​. เฟื้อย - เลื้อย ยาว เรียว หย่อนยาน,ก็ว่า.
เฟ่า,น.,ฟ่อน - กอง เรียกข้าวหรือพืชผลอื่นที่คล้ายกันซึ่งเก็บเกี่ยวมากองตากให้แห้งก่อนจะนวดหรือเก็บเอาเมล็ดแต่ยังไม่ได้มัด
เฟ่าเข้า,น.,ฟ่อนข้าว
เฟียด,น.,โกรธ ไม่พอใจ มักใช้ เคียด มากกว่า
เฟี้ยม,น.,"เฟี้ยม - ฝาที่ทำเป็นบานๆ พับได้, ก็ว่า."
เฟือ,ก.,ประคอง เกาะ พิง อิงไม่ให้ล้ม
เฟือข้าง,ก.,ประคองข้าง พยุงไปข้างๆ
เฟื้อ,ว.,คลุกคลี เกื้อกูล มักใช้กับคำอื่นเป็น เฟื้อฟั้น -  ดูแลอย่างใกล้ชิด คลุกคลี
เฟือง,น.,​ ฟางข้าว
เฟื้อง,น.,ซีก ส่วน ฝ่าย
เฟื้อง,น.,มาตราเงินอย่างเก่า ๘ อัฐ เป็น ๑ เฟื้อง เท่ากับ ๑๒ สตางค์ ครึ่ง (ยืม - เฟื้อง)
เฟื้องหม้อ,น.,"เศษของหม้อที่แตกออกเป็นชิ้น มักหมายถึงส่วนที่พอจะใช้ใส่น้ำให้ไก่กินได้, ก็ว่า."
เฟือน,ก.,กระเทือน สนั่น ไหว ทำใหไหวหรือหวั่นไหว
เฟือนฟั่ง,ว.,รีบร้อน
เฟือนฟัด,ก.,​ สะเทือนหรือโบกไปมา
เฟื้อน,น.,"เศษฟางข้าวที่ปนอยู่กับกองเม็ดข้าวในขณะนวด ขยะ เศษสิ่งของที่ไม่ต้องการ, ก็ว่า."
เฟือย,น.,"ปลาย กิ่งด้านข้างของต้นไม้, ก็ว่า."
เฟื้อย,ว.,"​ เฟื้อย - เลื้อย ยาว เรียว, ก็ว่า."
แฟ,ก.,"เคลียคลอ คลอลู่ ขนาน กำกับมิให้ล้ม, ก็ว่า."
แฟด,ก.,​ อาการที่ของเหลวหรือของเหลวปนกับลมทะลักออกจากช่องเล็กๆ
แฟด,ว.,เสียงที่ดังเช่นนั้น
แฟะ,ก.,​ เคล้าเคลีย พะเน้าพะนอ เล้าโลม
โฟ่,ก.,"พูด เจรจา ปราศรัย, ก็ว่า."
โฟ่จา,ดู - โฟ่,
ไฟตา,น.,ประกายที่เกิดกับตาอย่างที่ถูกชกเข้าที่เบ้าตา
ไฟท้องดับ,ว.,อาหารไม่ย่อย
ไฟธาตุ,น.,ไฟธาตุ - ไฟที่โบราณถือว่ามีในร่างกายมนุษย์และสัตว์ สำหรับการดำรงอยู่ของชีวิตและการย่อยอาหาร
ไฟฟ้า,น.,ฟ้าแลบ
ไฟฟ้า,น.,พลังงานที่สามารถใช้ให้เกิดความร้อน แสงสว่างหรือการเคลื่อนไหว (ยืม - ไฟฟ้า)
ไฟมล้างกัปป์,น.,ไฟบรรลัยกัลป์ - ไฟที่จะทำลายโลกเมื่อครบกำหนด
ไฟแมลบ,น.,ประกายไฟแลบออก
ไฟยาม,น.,ไฟที่จุดไว้หน้าศพตลอดเวลาที่ตั้งศพบำเพ็ญกุศลก่อนเผา
ไฟเอยน,น.,การเล่นแกล้งกันของเด็กที่ใช้ก้านไม้ขีดที่ดับแล้วไปสอดไว้ี่ง่ามเท้า แล้วจุดให้ถ่านก้านไม้ขีดนั้นลามไปทำร้ายผู้ที่ถูกแกล้งซึ่งกำลังนอนหลับอยู่
